risk_score	file	lines	incoming	outgoing	direct_writes	serializers	broad_catches	empty_catches	test_refs	tags	sample_tests
14	lib/features/planned_maintenance/presentation/template_publisher_screen.dart	152	3	19	0	0	0	0	2	sync,lifecycle,security_identity	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
14	lib/features/abnormalities/presentation/abnormality_reports_screen.dart	1061	2	6	0	0	0	0	0	sync,lifecycle,large,no_direct_test_reference	-
14	lib/features/planned_maintenance/presentation/planned_job_detail_screen.dart	792	2	26	0	0	6	0	2	persistence,sync,lifecycle,medium_large	test/operator_runtime_ux_polish_contract_test.dart | test/runtime_add_module_governance_contract_test.dart
14	lib/features/planned_maintenance/presentation/open_executions_view.dart	358	1	5	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/redSuccessorTemplateResolver.ts	326	1	3	2	0	2	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	lib/features/maintenance_workflow/presentation/widgets/raise_compliance_dialog.dart	235	1	2	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	lib/features/maintenance_workflow/repositories/isar_workflow_repository.dart	186	1	10	1	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	lib/features/maintenance_workflow/services/workflow_pull_service.dart	167	1	2	0	0	1	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/redHandlers.ts	121	1	8	3	0	0	0	0	authority,sync,lifecycle,no_direct_test_reference	-
14	lib/features/maintenance_workflow/presentation/screens/workflow_hub_screen.dart	90	1	3	0	0	0	0	0	authority,sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/memoryStore.ts	79	1	2	4	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/firebaseStore.ts	66	1	2	2	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/workflowNotificationPolicy.ts	57	1	0	5	0	0	0	1	authority,lifecycle,notification,many_remote_writes	functions/test/workflowNotificationPolicy.test.js
13	functions/src/maintenanceWorkflow/events.ts	39	7	3	0	0	0	0	0	authority,no_direct_test_reference	-
13	lib/features/maintenance_workflow/domain/workflow_policy.dart	32	6	3	0	0	0	0	1	authority,lifecycle	test/maintenance_workflow/workflow_policy_parity_test.dart
13	lib/core/services/sync_service.dart	364	2	33	0	0	0	0	2	persistence,sync,lifecycle	test/runtime_module_population_no_loss_test.dart | test/sync_service_decomposition_contract_test.dart
13	lib/features/planned_maintenance/domain/template_publication_readiness.dart	258	2	1	0	0	0	0	2	persistence,sync,lifecycle	test/template_governance_lifecycle_replay_contract_test.dart | test/template_publication_readiness_test.dart
13	lib/features/planned_maintenance/presentation/module_composer_screen.dart	206	2	29	0	0	0	0	9	persistence,sync,lifecycle	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_70e_responsive_widget_test.dart | test/module_composer_70e_save_sync_refresh_test.dart
13	lib/features/planned_maintenance/domain/module_workshop_published_sources.dart	198	2	3	0	0	1	0	2	persistence,sync,lifecycle	test/module_workshop_published_sources_test.dart | test/module_workshop_screen_test.dart
13	lib/features/maintenance/presentation/closed_tickets_screen.dart	953	1	7	1	0	3	0	2	persistence,sync,lifecycle,medium_large	test/field_hardening_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
13	lib/features/maintenance/presentation/resolve_form.dart	928	1	11	2	0	1	0	1	persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart
13	lib/features/planned_maintenance/presentation/module_composer_widgets.dart	898	1	0	0	0	0	0	3	authority,sync,lifecycle,medium_large	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart
13	lib/features/planned_maintenance/presentation/widgets/knowledge_row_editor.dart	796	1	9	0	0	2	0	2	authority,sync,lifecycle,medium_large	test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
13	lib/features/maintenance/presentation/ticket_screen.dart	679	1	9	0	0	1	0	1	authority,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart
13	lib/features/planned_maintenance/presentation/template_detail_screen.dart	671	1	10	0	0	1	0	3	persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart | test/field_hardening_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
13	lib/features/planned_maintenance/domain/published_runtime_module_catalogue.dart	575	1	6	1	0	0	0	5	persistence,sync,lifecycle,medium_large	test/published_runtime_module_catalogue_test.dart | test/published_template_runtime_contract_test.dart | test/runtime_add_module_governance_contract_test.dart | test/runtime_add_module_governed_catalogue_contract_test.dart
13	lib/features/planned_maintenance/presentation/create_template_screen.dart	541	1	7	1	0	1	0	1	persistence,sync,lifecycle,medium_large	test/async_mounted_context_safety_contract_test.dart
13	lib/features/reports/providers/fleet_status_provider.dart	221	1	5	5	0	0	0	0	sync,lifecycle,many_remote_writes,no_direct_test_reference	-
12	lib/features/maintenance_workflow/domain/workflow_command_contract.dart	62	8	2	0	2	0	0	1	persistence	test/maintenance_workflow/workflow_command_contract_test.dart
12	lib/features/planned_maintenance/domain/template_version_snapshot_contract.dart	448	6	0	17	0	2	0	2	lifecycle,many_remote_writes	test/published_template_runtime_contract_test.dart | test/template_version_snapshot_contract_test.dart
12	lib/features/maintenance_workflow/repositories/workflow_repository.dart	40	6	9	0	0	0	0	0	sync,no_direct_test_reference	-
12	lib/core/providers/sync_status_provider.dart	37	6	0	0	0	0	0	0	sync,no_direct_test_reference	-
12	lib/features/planned_maintenance/domain/module_workshop_actions.dart	286	5	1	1	0	0	0	1	sync,lifecycle	test/module_workshop_actions_test.dart
12	lib/core/services/auto_sync_service.dart	255	3	1	3	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
12	lib/features/assets/presentation/asset_timeline_screen.dart	570	2	5	0	0	0	0	0	sync,lifecycle,medium_large,no_direct_test_reference	-
12	lib/features/planned_maintenance/domain/module_composer_validator.dart	127	2	2	17	0	0	0	2	authority,lifecycle,many_remote_writes	test/module_composer_70e_semantic_evidence_test.dart | test/module_workshop_merge_test.dart
12	lib/features/planned_maintenance/presentation/template_designer_screen.dart	942	1	6	6	0	1	0	1	sync,lifecycle,medium_large,many_remote_writes	test/async_mounted_context_safety_contract_test.dart
12	lib/features/planned_maintenance/presentation/widgets/knowledge_correction_promoter_panel.dart	433	1	8	2	0	1	0	2	persistence,sync,lifecycle	test/field_hardening_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
12	lib/features/admin/presentation/admin_data_browser.dart	245	1	12	0	0	0	0	3	authority,sync,lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
12	lib/core/services/global_pull_service.conflicts.dart	235	1	0	3	0	6	0	1	persistence,sync,lifecycle	test/global_pull_service_decomposition_contract_test.dart
12	lib/core/services/sync_service.job_diary.dart	133	1	0	3	0	0	0	1	persistence,sync,lifecycle	test/sync_service_decomposition_contract_test.dart
12	lib/features/planned_maintenance/presentation/template_publisher_screen.builders.dart	128	1	0	0	0	0	0	3	persistence,lifecycle,security_identity	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/template_version_lifecycle_contract_test.dart
12	lib/core/release/app_build_identity.dart	110	1	0	0	1	0	0	1	persistence,lifecycle,security_identity	test/app_build_identity_test.dart
12	lib/core/services/planned_job_local_link_repair.dart	104	1	2	2	0	0	0	1	persistence,sync,lifecycle	test/planned_job_local_link_repair_test.dart
12	lib/core/services/global_pull_service.directives.dart	95	1	0	3	0	1	0	1	persistence,sync,lifecycle	test/global_pull_service_decomposition_contract_test.dart
12	lib/core/services/global_pull_service.maintenance.dart	94	1	0	3	0	1	0	1	persistence,sync,lifecycle	test/global_pull_service_decomposition_contract_test.dart
12	lib/core/services/global_pull_service.job_diary.dart	93	1	0	3	0	1	0	1	persistence,sync,lifecycle	test/global_pull_service_decomposition_contract_test.dart
12	lib/core/services/global_pull_service.job_modules.dart	93	1	0	3	0	1	0	1	persistence,sync,lifecycle	test/global_pull_service_decomposition_contract_test.dart
12	lib/features/maintenance_workflow/services/workflow_outbox_policy.dart	46	1	1	0	0	0	0	1	authority,sync,lifecycle	test/maintenance_workflow/workflow_retry_policy_test.dart
12	.github/workflows/verification-artifact.yml	136	0	0	0	0	0	0	1	authority,persistence,security_identity	test/release_provenance_tooling_contract_test.dart
11	functions/src/maintenanceWorkflow/utils.ts	60	9	2	0	0	0	0	0	no_direct_test_reference	-
11	lib/features/planned_maintenance/domain/knowledge_governance_export.dart	509	2	3	10	0	1	0	0	lifecycle,medium_large,many_remote_writes,no_direct_test_reference	-
11	lib/features/planned_maintenance/presentation/widgets/job_module_response_summary.dart	415	2	3	0	0	1	0	0	sync,lifecycle,no_direct_test_reference	-
11	lib/features/maintenance_workflow/services/workflow_online_executor.dart	102	2	7	1	0	1	0	0	sync,lifecycle,no_direct_test_reference	-
11	functions/src/maintenanceWorkflow/dispatcher.ts	64	2	12	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
11	functions/src/maintenanceWorkflow/laneProgress.ts	52	2	1	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
11	lib/features/planned_maintenance/presentation/dossier/planned_job_module_dossier.dart	1929	1	0	0	0	0	0	3	sync,lifecycle,large	test/operator_runtime_ux_polish_contract_test.dart | test/runtime_add_module_governance_contract_test.dart | test/runtime_module_lineage_visibility_contract_test.dart
11	lib/features/planned_maintenance/presentation/dossier/planned_job_detail_common.dart	1685	1	0	1	0	1	0	2	sync,lifecycle,large	test/operator_runtime_ux_polish_contract_test.dart | test/runtime_module_lineage_visibility_contract_test.dart
11	lib/features/planned_maintenance/presentation/module_composer_screen.builders.dart	1123	1	0	0	0	0	0	4	sync,lifecycle,large	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart | test/template_version_lifecycle_contract_test.dart
11	lib/features/reports/presentation/fleet_status_screen.dart	663	1	6	0	0	0	0	0	sync,lifecycle,medium_large,no_direct_test_reference	-
11	lib/features/auth/presentation/login_screen.dart	179	1	2	0	0	1	0	0	sync,security_identity,no_direct_test_reference	-
11	lib/features/planned_maintenance/presentation/widgets/knowledge_version_dashboard.dart	127	1	3	0	0	0	0	0	persistence,sync,no_direct_test_reference	-
11	lib/core/services/isar_production_recovery_stub.dart	97	1	0	0	0	0	0	0	persistence,sync,no_direct_test_reference	-
11	functions/src/maintenanceWorkflow/equipmentHandlers.ts	66	1	8	2	0	0	0	0	authority,sync,no_direct_test_reference	-
11	lib/core/services/isar_schema_guard_stub.dart	13	1	1	0	0	0	0	0	persistence,sync,no_direct_test_reference	-
11	tools/maintenance_workflow/generate_policy.mjs	96	0	0	0	0	0	0	0	authority,sync,lifecycle	-
10	functions/src/maintenanceWorkflow/store.ts	25	10	1	0	0	0	0	7		test/firestore_deployment_readiness_contract_test.dart | test/published_template_assignment_idempotency_store_test.dart | test/template_governance_70f1_restore_ui_test.dart | test/maintenance_workflow/firestore_rules_online_only_contract_test.dart
10	lib/features/maintenance_workflow/domain/workflow_models.dart	85	7	2	0	0	0	0	1	lifecycle	test/maintenance_workflow/workflow_aggregate_test.dart
10	lib/features/maintenance_workflow/data/workflow_command_receipt_record.dart	19	4	0	0	0	0	0	0	persistence,no_direct_test_reference	-
10	lib/features/planned_maintenance/domain/knowledge_governance_diff.dart	295	2	2	6	0	0	0	0	lifecycle,many_remote_writes,no_direct_test_reference	-
10	lib/features/planned_maintenance/presentation/widgets/knowledge_audit_timeline.dart	167	1	4	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
10	lib/features/planned_maintenance/presentation/widgets/knowledge_filters_panel.dart	112	1	4	3	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
10	lib/features/maintenance_workflow/data/workflow_record_mappers.dart	106	1	7	0	0	0	0	0	persistence,lifecycle,no_direct_test_reference	-
10	lib/features/maintenance_workflow/presentation/screens/lane_classification_screen.dart	85	1	5	1	0	1	0	0	sync,lifecycle,no_direct_test_reference	-
10	lib/features/maintenance_workflow/services/workflow_aggregate_service.dart	30	1	3	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
10	lib/core/services/isar_schema_guard_io.dart	45	0	1	0	0	0	0	0	persistence,sync,no_direct_test_reference	-
9	functions/src/maintenanceWorkflow/handlerTypes.ts	16	7	2	0	0	0	0	0	no_direct_test_reference	-
9	functions/src/maintenanceWorkflow/paths.ts	10	7	0	0	0	0	0	0	no_direct_test_reference	-
9	lib/features/maintenance_workflow/domain/workflow_actor.dart	26	5	1	0	0	0	0	2	authority	test/maintenance_workflow/maintenance_lane_policy_test.dart | test/maintenance_workflow/workflow_preview_engine_test.dart
9	lib/features/planned_maintenance/domain/module_workshop_merge.dart	482	3	4	12	0	0	0	2	lifecycle,many_remote_writes	test/module_workshop_merge_test.dart | test/publish_metadata_dialog_test.dart
9	lib/features/planned_maintenance/domain/module_composer_json_builder.dart	165	2	2	3	4	0	0	5	persistence,serialization_hub	test/module_composer_70e_semantic_evidence_test.dart | test/module_composer_alias_rehydration_test.dart | test/publish_metadata_dialog_test.dart | test/published_template_runtime_contract_test.dart
9	lib/features/planned_maintenance/domain/planned_job_module_set_resolver.dart	156	2	1	0	0	0	0	1	persistence,lifecycle	test/planned_job_module_set_resolver_test.dart
9	lib/features/maintenance_workflow/domain/workflow_policy_generated.dart	77	2	0	0	0	0	0	1	authority,lifecycle	test/maintenance_workflow/workflow_policy_parity_test.dart
9	lib/features/planned_maintenance/presentation/knowledge_governance_screen.dart	976	1	13	0	0	2	0	2	sync,lifecycle,medium_large	test/field_hardening_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
9	lib/features/planned_maintenance/presentation/module_workshop_screen.dart	920	1	5	0	0	0	0	1	sync,lifecycle,medium_large	test/module_workshop_screen_test.dart
9	lib/features/planned_maintenance/presentation/widgets/job_module_card.dart	692	1	4	0	0	0	0	2	sync,lifecycle,medium_large	test/operator_runtime_ux_polish_contract_test.dart | test/runtime_module_lineage_visibility_contract_test.dart
9	lib/features/planned_maintenance/presentation/templates_screen.dart	676	1	10	1	0	0	0	1	sync,lifecycle,medium_large	test/planned_work_open_job_visibility_test.dart
9	lib/core/security/app_check_bootstrap.dart	206	1	0	0	0	0	0	4	sync,security_identity	test/app_check_bootstrap_test.dart | test/release_startup_hygiene_contract_test.dart | test/stage2d_f_internal_controlled_deployment_scope_contract_test.dart | test/stage2d_source_security_contract_test.dart
9	lib/core/services/sync_service.knowledge_base.dart	58	1	0	0	0	0	0	1	persistence,sync	test/sync_service_decomposition_contract_test.dart
9	lib/core/services/global_pull_service.watermark.dart	45	1	0	0	0	1	0	1	sync,security_identity	test/global_pull_service_decomposition_contract_test.dart
9	firestore.indexes.json	857	0	0	0	0	0	0	3	lifecycle,platform_root,medium_large	test/firestore_deployment_readiness_contract_test.dart | functions/test/backendReleaseIdentityComposite.test.js | functions/test/maintenanceWorkflowRulesSource.test.js
9	android/app/build.gradle.kts	81	0	0	0	0	0	0	1	security_identity,platform_root	test/production_release_provenance_contract_test.dart
9	lib/features/maintenance_workflow/services/workflow_error_translator.dart	31	0	1	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
9	functions/src/maintenanceWorkflow/policy.generated.ts	11	0	0	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
8	lib/features/maintenance_workflow/services/workflow_command_factory.dart	33	6	2	0	0	0	0	0	no_direct_test_reference	-
8	lib/features/planned_maintenance/domain/baf_tag_resolver_v2.dart	414	5	5	9	0	0	0	1	many_remote_writes	test/baf_tag_resolver_v2_adapter_test.dart
8	lib/features/maintenance_workflow/domain/compliance_models.dart	56	5	2	0	0	0	0	1	lifecycle	test/maintenance_workflow/compliance_decision_policy_test.dart
8	lib/features/planned_maintenance/widgets/action_bottom_sheet.dart	448	2	4	0	0	0	0	0	sync,no_direct_test_reference	-
8	lib/features/planned_maintenance/widgets/action_mini_card.dart	187	2	3	0	0	0	0	0	sync,no_direct_test_reference	-
8	functions/src/maintenanceWorkflow/equipmentProjection.ts	41	2	2	0	0	0	0	0	sync,no_direct_test_reference	-
8	lib/core/providers/sync_conflict_provider.dart	6	2	0	0	0	0	0	0	sync,no_direct_test_reference	-
8	lib/core/providers/sync_providers.dart	6	2	0	0	0	0	0	0	sync,no_direct_test_reference	-
8	lib/features/planned_maintenance/presentation/dossier/planned_job_diary_dossier.dart	607	1	0	0	0	0	0	0	sync,medium_large,no_direct_test_reference	-
8	lib/features/planned_maintenance/domain/planned_job_closure_attestation.dart	284	1	1	0	0	2	0	2	persistence,lifecycle	test/planned_job_closure_attestation_test.dart | test/runtime_module_population_fence_contract_test.dart
8	lib/features/planned_maintenance/domain/planned_job_closure_guard.dart	246	1	2	0	0	1	0	3	persistence,lifecycle	test/planned_job_closure_attestation_test.dart | test/planned_job_closure_guard_test.dart | test/published_template_runtime_contract_test.dart
8	lib/features/auth/validation/user_input_validator.dart	108	1	4	3	0	0	0	1	authority,lifecycle	test/input_validation_test.dart
8	functions/src/runtimeJobModulePopulationCallable.ts	42	1	1	0	0	1	0	2	sync,lifecycle	test/runtime_module_population_fence_contract_test.dart | functions/test/runtimeJobModulePopulationCallable.test.js
7	lib/features/maintenance/utils/asset_validator.dart	36	5	1	0	0	0	0	0	no_direct_test_reference	-
7	lib/core/validation/field_validators.dart	223	2	1	7	0	0	0	0	many_remote_writes,no_direct_test_reference	-
7	lib/features/planned_maintenance/domain/knowledge_correction_promoter.dart	216	2	5	1	0	1	0	0	lifecycle,no_direct_test_reference	-
7	lib/features/admin/utils/admin_search_sort_helpers.dart	70	2	2	0	0	0	0	0	lifecycle,no_direct_test_reference	-
7	lib/features/assets/models/timeline_entry.dart	63	2	2	0	0	0	0	0	lifecycle,no_direct_test_reference	-
7	functions/src/maintenanceWorkflow/redPolicy.ts	34	2	1	0	0	0	0	0	lifecycle,no_direct_test_reference	-
7	lib/features/reports/models/asset_fleet_status.dart	27	2	2	0	0	0	0	0	lifecycle,no_direct_test_reference	-
7	lib/core/providers/refresh_providers.dart	7	2	0	0	0	0	0	0	lifecycle,no_direct_test_reference	-
7	lib/features/audit/presentation/audit_timeline_screen.dart	408	1	3	0	0	0	0	0	sync,no_direct_test_reference	-
7	lib/features/planned_maintenance/presentation/template_publisher_screen.validation.dart	323	1	0	12	0	3	0	2	lifecycle,many_remote_writes	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
7	lib/features/maintenance_workflow/presentation/screens/equipment_status_board.dart	162	1	5	0	0	1	0	0	sync,no_direct_test_reference	-
7	lib/features/assets/providers/asset_timeline_provider.dart	143	1	5	0	0	0	0	0	sync,no_direct_test_reference	-
7	lib/features/maintenance_workflow/services/workflow_uncertain_retry_service.dart	63	1	5	0	0	1	0	0	sync,no_direct_test_reference	-
7	lib/features/maintenance_workflow/presentation/widgets/red_exit_dialog.dart	58	1	0	0	0	0	0	0	sync,no_direct_test_reference	-
7	lib/features/admin/presentation/local_diagnostics_exporter_stub.dart	17	1	0	0	0	0	0	0	sync,no_direct_test_reference	-
7	functions/src/stage2dSecurityConfig.ts	8	1	0	0	0	0	0	0	security_identity,no_direct_test_reference	-
7	lib/features/maintenance_workflow/domain/maintenance_workflow_engine.dart	129	0	8	0	0	0	0	1	authority,lifecycle	test/maintenance_workflow/workflow_preview_engine_test.dart
7	firebase.json	52	0	0	0	0	0	0	2	persistence,lifecycle	test/firestore_deployment_readiness_contract_test.dart | test/release_startup_hygiene_contract_test.dart
7	analysis_options.yaml	38	0	0	0	0	0	0	0	persistence,lifecycle	-
6	lib/features/admin/providers/admin_stream_providers.dart	27	4	6	0	0	0	0	0	no_direct_test_reference	-
6	lib/features/planned_maintenance/domain/runtime_module_lineage.dart	323	3	1	0	0	1	0	2	lifecycle	test/operator_runtime_ux_polish_contract_test.dart | test/runtime_module_lineage_visibility_contract_test.dart
6	lib/features/abnormalities/presentation/abnormalities_home_screen.dart	682	1	9	0	0	1	0	1	sync,medium_large	test/async_mounted_context_safety_contract_test.dart
6	lib/features/maintenance_workflow/presentation/widgets/lane_strip.dart	54	1	2	0	0	0	0	0	lifecycle,no_direct_test_reference	-
6	functions/src/maintenanceWorkflow/firebaseExports.ts	3	1	3	0	0	0	0	0	notification,no_direct_test_reference	-
6	lib/features/admin/presentation/local_diagnostics_exporter_io.dart	41	0	0	0	0	0	0	0	sync,no_direct_test_reference	-
6	lib/features/admin/presentation/local_diagnostics_exporter_web.dart	17	0	0	0	0	0	0	0	sync,no_direct_test_reference	-
5	lib/core/validation/validation_result.dart	63	3	0	0	0	0	0	0	no_direct_test_reference	-
5	lib/features/maintenance_workflow/domain/workflow_aggregate.dart	24	2	2	0	0	0	0	1	lifecycle	test/maintenance_workflow/workflow_aggregate_test.dart
5	lib/features/planned_maintenance/presentation/module_composer_screen.helpers.dart	272	1	0	1	0	1	0	3	sync	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart
5	lib/features/admin/presentation/admin_data_browser/admin_edit_directive_dialog.dart	240	1	6	0	0	0	0	2	authority	test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
5	lib/features/admin/presentation/admin_data_browser/admin_abnormalities_tab.dart	235	1	3	0	0	0	0	2	sync	test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
5	lib/features/auth/presentation/pending_approval_screen.dart	193	1	2	0	0	1	0	1	sync	test/async_mounted_context_safety_contract_test.dart
5	lib/core/services/crash_reporting_bootstrap.dart	24	1	1	0	0	0	0	1	sync	test/release_startup_hygiene_contract_test.dart
5	lib/core/services/global_pull_service.knowledge_base.dart	21	1	0	0	0	0	0	1	sync	test/global_pull_service_decomposition_contract_test.dart
5	functions/src/maintenanceWorkflow/idempotency.ts	19	1	4	0	0	0	0	1	sync	test/published_template_assignment_idempotency_store_test.dart
5	android/settings.gradle.kts	30	0	0	0	0	0	0	0	platform_root	-
5	lib/features/maintenance_workflow/providers/lane_inbox_provider.dart	25	0	2	0	0	0	0	0	lifecycle,no_direct_test_reference	-
5	android/build.gradle.kts	21	0	0	0	0	0	0	1	platform_root	test/production_release_provenance_contract_test.dart
4	lib/features/admin/presentation/admin_data_browser/admin_delete_reason_dialog.dart	107	4	3	0	0	0	0	2		test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
4	lib/features/admin/presentation/admin_data_browser/admin_data_browser_shared.dart	72	4	1	0	0	0	0	2		test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
4	lib/features/maintenance_workflow/presentation/widgets/workflow_action_guard.dart	32	2	0	0	0	0	0	0	no_direct_test_reference	-
4	lib/core/services/isar_production_recovery.dart	4	2	1	0	0	0	0	0	no_direct_test_reference	-
4	lib/features/planned_maintenance/presentation/template_publisher_widgets.dart	272	1	0	0	0	0	0	2	lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
4	lib/features/planned_maintenance/domain/module_registry_content_hash.dart	243	1	2	0	2	4	0	1	lifecycle	test/module_registry_content_hash_test.dart
4	lib/features/planned_maintenance/presentation/template_publisher_json_panel.dart	181	1	0	0	0	0	0	2	lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
4	lib/features/maintenance_workflow/domain/red_exit_gate.dart	109	1	3	0	0	0	0	1	lifecycle	test/maintenance_workflow/red_exit_gate_test.dart
4	lib/features/planned_maintenance/presentation/template_publisher_models.dart	76	1	0	0	0	0	0	2	lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
4	functions/src/maintenanceWorkflow/aggregate.ts	21	1	1	0	0	0	0	1	lifecycle	test/maintenance_workflow/workflow_aggregate_test.dart
4	lib/features/planned_maintenance/presentation/template_publisher_screen.helpers.dart	18	1	0	0	0	0	0	2	lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart
4	functions/src/maintenanceWorkflow/index.ts	10	0	9	0	0	0	0	6	authority	test/firestore_deployment_readiness_contract_test.dart | test/runtime_module_population_fence_contract_test.dart | test/stage2d_f_internal_controlled_deployment_scope_contract_test.dart | functions/test/backendReleaseIdentityComposite.test.js
4	android/app/src/debug/AndroidManifest.xml	7	0	0	0	0	0	0	1	authority	test/production_release_provenance_contract_test.dart
4	android/app/src/profile/AndroidManifest.xml	7	0	0	0	0	0	0	1	authority	test/production_release_provenance_contract_test.dart
3	lib/features/planned_maintenance/domain/domain_registry.dart	347	1	0	0	0	0	0	0	no_direct_test_reference	-
3	lib/features/maintenance_workflow/presentation/widgets/workflow_timeline.dart	43	1	1	0	0	1	0	0	no_direct_test_reference	-
3	functions/src/maintenanceWorkflow/escalationPolicy.ts	39	1	0	0	0	0	0	0	no_direct_test_reference	-
3	lib/features/admin/presentation/local_diagnostics_exporter.dart	5	1	1	0	0	0	0	0	no_direct_test_reference	-
3	lib/core/services/isar_schema_guard.dart	4	1	1	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance/validation/maintenance_input_validator.dart	248	2	4	1	0	0	0	1		test/input_validation_test.dart
2	lib/features/planned_maintenance/domain/module_registry_concurrency.dart	65	2	1	0	0	0	0	1		test/module_registry_concurrency_test.dart
2	lib/features/maintenance_workflow/domain/equipment_projection_policy.dart	59	2	1	2	0	0	0	1		test/maintenance_workflow/equipment_projection_test.dart
2	lib/features/maintenance_workflow/domain/compliance_decision_policy.dart	44	2	3	0	0	0	0	1		test/maintenance_workflow/compliance_decision_policy_test.dart
2	lib/features/maintenance_workflow/domain/lane_progress_evidence.dart	36	2	0	0	0	0	0	2		test/maintenance_workflow/lane_progress_evidence_test.dart | test/maintenance_workflow/workflow_preview_engine_test.dart
2	lib/features/maintenance_workflow/domain/legacy_lane_adapter.dart	54	0	4	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/compliance_engine.dart	46	0	4	0	0	0	0	0	no_direct_test_reference	-
2	lib/core/theme/app_colors.dart	29	0	0	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/maintenance_workflow_domain.dart	13	0	13	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/maintenance_workflow_models.dart	5	0	5	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/equipment_state_deriver.dart	1	0	1	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/frozen_workflow_policy.dart	1	0	1	0	0	0	0	0	no_direct_test_reference	-
2	lib/features/maintenance_workflow/domain/maintenance_workflow_command.dart	1	0	1	0	0	0	0	0	no_direct_test_reference	-
1	lib/features/planned_maintenance/domain/tag_resolver.dart	165	1	1	0	0	0	0	1		test/baf_tag_resolver_v2_adapter_test.dart
0	android/app/src/main/AndroidManifest.xml	45	0	0	0	0	0	0	1		test/production_release_provenance_contract_test.dart
0	android/gradle.properties	20	0	0	0	0	0	0	0		-
0	android/app/src/main/res/values-night/styles.xml	18	0	0	0	0	0	0	0		-
0	android/app/src/main/res/values/styles.xml	18	0	0	0	0	0	0	0		-
0	android/app/src/main/res/drawable-v21/launch_background.xml	12	0	0	0	0	0	0	0		-
0	android/app/src/main/res/drawable/launch_background.xml	12	0	0	0	0	0	0	0		-
0	android/gradle/wrapper/gradle-wrapper.properties	8	0	0	0	0	0	0	0		-
