risk_score	file	lines	incoming	outgoing	direct_writes	serializers	broad_catches	empty_catches	test_refs	tags	sample_tests
26	functions/src/publishedTemplateAssignment.ts	1905	1	0	17	0	3	0	3	authority,persistence,sync,lifecycle,security_identity,large,many_remote_writes	test/runtime_module_population_fence_contract_test.dart | functions/test/publishedTemplateAssignment.firestoreEmulator.test.js | functions/test/publishedTemplateAssignment.test.js
25	lib/features/abnormalities/data/abnormality_model.dart	893	8	2	2	11	2	0	0	persistence,sync,lifecycle,medium_large,serialization_hub,no_direct_test_reference	-
25	lib/features/planned_maintenance/services/planned_job_server_completion_service.dart	260	4	2	5	5	1	0	5	authority,persistence,sync,lifecycle,many_remote_writes,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/firestore_deployment_readiness_contract_test.dart | test/planned_job_server_completion_no_loss_test.dart | test/planned_job_server_completion_service_test.dart
24	functions/src/maintenanceWorkflow/types.ts	104	21	0	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
24	functions/src/maintenanceWorkflow/errors.ts	33	15	1	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
24	lib/features/maintenance_workflow/data/job_lane_record.dart	91	11	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
24	lib/features/maintenance_workflow/data/workflow_event_record.dart	25	7	0	0	0	0	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
24	lib/features/planned_maintenance/data/baf_module_catalogue_seed.dart	1412	3	2	0	5	0	0	1	persistence,sync,lifecycle,security_identity,large,serialization_hub	test/module_workshop_screen_test.dart
24	functions/src/notifications.ts	437	2	0	3	0	1	0	1	authority,persistence,sync,lifecycle,notification,security_identity	functions/test/notifications.test.js
23	lib/core/services/sync_coordinator.dart	617	26	6	0	0	0	0	2	sync,lifecycle,medium_large	test/composer_publish_sync_contract_test.dart | test/sync_coordinator_queue_contract_test.dart
23	lib/features/maintenance_workflow/domain/workflow_error.dart	42	14	0	0	0	0	0	0	authority,lifecycle,no_direct_test_reference	-
23	lib/features/planned_maintenance/presentation/complete_job_screen.dart	1931	2	19	10	1	7	0	2	authority,persistence,sync,lifecycle,large,many_remote_writes	test/async_mounted_context_safety_contract_test.dart | test/complete_job_screen_server_gate_test.dart
23	functions/src/runtimeJobModulePopulation.ts	1844	2	0	7	1	2	0	5	authority,persistence,sync,lifecycle,large,many_remote_writes	test/runtime_module_population_fence_contract_test.dart | functions/test/backendReleaseIdentityComposite.test.js | functions/test/runtimeJobModulePopulation.firestoreEmulator.test.js | functions/test/runtimeJobModulePopulation.test.js
23	lib/core/services/live_remote_sync_service.dart	862	2	4	12	0	0	0	0	authority,persistence,sync,lifecycle,medium_large,many_remote_writes,no_direct_test_reference	-
23	lib/features/planned_maintenance/presentation/template_publisher_sections.dart	1231	1	0	0	0	0	0	3	authority,persistence,sync,lifecycle,security_identity,large	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/template_version_lifecycle_contract_test.dart
23	lib/home_screen.dart	1207	1	26	1	0	1	0	2	authority,sync,lifecycle,notification,platform_root,large	test/async_mounted_context_safety_contract_test.dart | test/local_diagnostics_visibility_contract_test.dart
23	lib/core/services/sync_service.executions.dart	600	1	0	13	4	0	0	2	authority,persistence,sync,lifecycle,medium_large,many_remote_writes,serialization_hub	test/planned_job_local_identity_architecture_contract_test.dart | test/sync_service_decomposition_contract_test.dart
22	lib/features/audit/repositories/audit_repository.dart	600	10	3	2	0	6	0	1	persistence,sync,lifecycle,medium_large	test/runtime_module_population_no_loss_test.dart
22	lib/features/maintenance_workflow/data/compliance_request_record.dart	99	9	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
22	lib/features/planned_maintenance/services/published_template_assignment_server_service.dart	296	3	3	1	2	2	0	1	authority,persistence,sync,lifecycle,security_identity	test/published_template_assignment_server_contract_test.dart
22	lib/features/planned_maintenance/presentation/module_composer_screen.actions.dart	1219	1	0	16	0	7	0	4	authority,persistence,sync,lifecycle,large,many_remote_writes	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart | test/template_version_lifecycle_contract_test.dart
22	functions/src/maintenanceWorkflow/callable.ts	111	1	4	1	0	1	0	0	authority,persistence,sync,lifecycle,security_identity,no_direct_test_reference	-
22	functions/src/index.ts	327	0	9	0	0	4	0	6	authority,persistence,sync,lifecycle,notification,security_identity	test/firestore_deployment_readiness_contract_test.dart | test/runtime_module_population_fence_contract_test.dart | test/stage2d_f_internal_controlled_deployment_scope_contract_test.dart | functions/test/backendReleaseIdentityComposite.test.js
22	tools/maintenance_workflow/full_tree_source_audit.py	306	0	0	0	2	0	0	0	authority,persistence,sync,lifecycle,notification,security_identity	-
21	lib/features/planned_maintenance/models/component_action_model.dart	233	11	0	0	4	1	0	2	persistence,lifecycle,serialization_hub	test/complete_job_screen_server_gate_test.dart | test/planned_job_server_completion_no_loss_test.dart
21	lib/features/maintenance_workflow/providers/workflow_providers.dart	127	10	16	0	0	1	0	1	persistence,sync,lifecycle	test/maintenance_workflow/online_only_contract_test.dart
21	functions/src/backendReleaseIdentity.ts	166	2	0	0	0	0	0	2	authority,persistence,sync,lifecycle,security_identity	functions/test/backendReleaseIdentity.test.js | functions/test/backendReleaseIdentityComposite.test.js
21	functions/src/plannedJobClosure.ts	861	1	0	3	0	2	0	3	authority,persistence,sync,lifecycle,security_identity,medium_large	test/runtime_module_population_fence_contract_test.dart | functions/test/plannedJobClosure.firestoreEmulator.test.js | functions/test/plannedJobClosure.test.js
21	functions/src/maintenanceWorkflow/complianceHandlers.ts	454	1	9	25	0	0	0	0	authority,sync,lifecycle,security_identity,many_remote_writes,no_direct_test_reference	-
21	functions/src/maintenanceWorkflow/laneHandlers.ts	292	1	10	11	0	0	0	0	authority,sync,lifecycle,security_identity,many_remote_writes,no_direct_test_reference	-
20	lib/features/audit/providers/audit_provider.dart	15	11	1	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
20	lib/features/planned_maintenance/domain/baf_knowledge_layer.dart	113	9	1	2	1	0	0	4	persistence,sync,lifecycle	test/module_composer_title_rehydration_widget_test.dart | test/module_workshop_screen_test.dart | test/publish_metadata_dialog_integration_test.dart | test/template_governance_70f1_restore_ui_test.dart
20	lib/core/services/app_logger.dart	326	8	0	0	0	0	0	1	authority,sync,security_identity	test/release_startup_hygiene_contract_test.dart
20	lib/features/maintenance_workflow/presentation/widgets/planned_job_workflow_panel.dart	770	2	15	0	0	1	0	0	authority,persistence,sync,lifecycle,medium_large,no_direct_test_reference	-
20	lib/core/services/sync_service.template_governance.dart	966	1	0	27	3	0	0	2	persistence,sync,lifecycle,security_identity,medium_large,many_remote_writes	test/sync_service_decomposition_contract_test.dart | test/template_governance_lifecycle_replay_contract_test.dart
20	functions/src/backendReleaseIdentityComposite.ts	249	1	1	0	0	0	0	1	authority,persistence,sync,lifecycle,security_identity	functions/test/backendReleaseIdentityComposite.test.js
20	lib/core/release/backend_release_identity_service.dart	169	1	0	0	1	2	0	1	authority,persistence,sync,lifecycle,security_identity	test/backend_release_identity_service_test.dart
20	tools/release/Test-ProductionReleaseManifest.ps1	829	0	0	0	0	0	0	1	authority,persistence,sync,lifecycle,security_identity,medium_large	test/production_release_provenance_contract_test.dart
19	lib/features/maintenance_workflow/domain/maintenance_lane.dart	119	12	3	0	0	0	0	5	authority,lifecycle	test/maintenance_workflow/compliance_decision_policy_test.dart | test/maintenance_workflow/maintenance_lane_policy_test.dart | test/maintenance_workflow/red_exit_gate_test.dart | test/maintenance_workflow/workflow_aggregate_test.dart
19	lib/features/planned_maintenance/data/job_diary_model.dart	439	8	2	0	2	1	0	4	persistence,sync,lifecycle	test/issue_1_tombstone_conflict_regression_test.dart | test/planned_job_local_identity_architecture_contract_test.dart | test/planned_job_local_identity_serialization_test.dart | test/planned_job_local_link_repair_test.dart
19	lib/features/maintenance_workflow/data/equipment_status_record.dart	36	6	0	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
19	lib/features/maintenance_workflow/services/workflow_command_gateway.dart	75	2	2	0	2	1	0	0	authority,persistence,sync,lifecycle,no_direct_test_reference	-
19	lib/features/planned_maintenance/presentation/job_module_detail_screen.dart	1869	1	11	0	3	4	0	4	authority,persistence,sync,lifecycle,large	test/async_mounted_context_safety_contract_test.dart | test/operator_runtime_ux_polish_contract_test.dart | test/planned_job_local_identity_architecture_contract_test.dart | test/runtime_module_lineage_visibility_contract_test.dart
19	lib/features/planned_maintenance/presentation/published_template_assignment_screen.dart	1394	1	17	0	0	7	0	2	persistence,sync,lifecycle,security_identity,large	test/async_mounted_context_safety_contract_test.dart | test/template_governance_lifecycle_replay_contract_test.dart
19	lib/core/widgets/sync_status_indicator.dart	1313	1	10	0	0	2	0	2	authority,persistence,sync,lifecycle,large	test/lifecycle_static_guardrail_contract_test.dart | test/sync_status_indicator_hardening_contract_test.dart
19	lib/features/planned_maintenance/presentation/module_composer_dialogs.dart	1090	1	0	0	0	0	0	4	authority,persistence,sync,lifecycle,large	test/composer_publish_sync_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/module_composer_hardening_contract_test.dart | test/template_version_lifecycle_contract_test.dart
19	lib/features/admin/presentation/user_management_screen.dart	873	1	8	3	0	4	0	0	authority,persistence,sync,lifecycle,medium_large,no_direct_test_reference	-
19	lib/features/planned_maintenance/providers/module_registry_provider.dart	756	1	4	16	31	0	0	1	persistence,sync,lifecycle,medium_large,many_remote_writes,serialization_hub	test/module_registry_lifecycle_contract_test.dart
19	lib/core/services/sync_service.job_modules.dart	592	1	0	39	4	1	0	3	persistence,sync,lifecycle,medium_large,many_remote_writes,serialization_hub	test/job_module_lifecycle_replay_contract_test.dart | test/runtime_module_population_fence_contract_test.dart | test/sync_service_decomposition_contract_test.dart
